Rank,Zip Code,Population
853,14710,"3,268"
854,13438,"3,253"
855,14062,"3,248"
856,14738,"3,247"
857,12846,"3,243"
858,13754,"3,233"
859,14025,"3,223"
860,13167,"3,215"
861,12850,"3,204"
862,11935,"3,199"
863,13825,"3,193"
864,13411,"3,189"
865,14821,"3,186"
866,14712,"3,178"
867,10974,"3,175"
868,11724,"3,160"
869,10998,"3,157"
870,14081,"3,130"
871,12919,"3,121"
872,13667,"3,118"
873,13656,"3,108"
874,13308,"3,106"
875,12117,"3,094"
876,12068,"3,083"
877,14755,"3,080"
878,11718,"3,069"
879,14517,"3,063"
880,11978,"3,058"
881,13461,"3,031"
882,10004,"3,028"
883,14561,"3,021"
884,12015,"3,006"
885,14865,"2,981"
886,14172,"2,978"
887,11548,"2,963"
888,11794,"2,952"
889,12567,"2,951"
890,12520,"2,947"
891,14807,"2,946"
892,13332,"2,939"
893,14735,"2,931"
894,12514,"2,905"
894,14098,"2,905"
895,11549,"2,901"
896,12547,"2,899"
897,12074,"2,895"
898,12072,"2,884"
899,13691,"2,878"
900,12525,"2,858"
901,12075,"2,850"
902,14715,"2,840"
903,12413,"2,815"
903,12546,"2,815"
904,13060,"2,809"
905,10588,"2,808"
906,12154,"2,807"
907,12458,"2,804"
908,14034,"2,800"
909,10984,"2,780"
910,14770,"2,777"
911,12821,"2,766"
912,13478,"2,760"
913,14435,"2,750"
914,14716,"2,746"
914,14739,"2,746"
915,12056,"2,743"
916,12167,"2,737"
917,12529,"2,730"
918,13654,"2,722"
919,12501,"2,719"
920,12788,"2,717"
921,13606,"2,716"
922,14840,"2,712"
923,13143,"2,706"
924,14853,"2,690"
925,12966,"2,685"
926,13730,"2,683"
927,12484,"2,671"
928,13783,"2,665"
929,14471,"2,651"
930,13044,"2,621"
931,14525,"2,607"
932,13042,"2,604"
933,12183,"2,591"
934,13164,"2,587"
935,14873,"2,578"
936,13613,"2,574"
937,14817,"2,556"
938,12094,"2,550"
939,14170,"2,544"
940,14775,"2,530"
941,13685,"2,520"
942,13409,"2,519"
943,12859,"2,489"
944,13812,"2,482"
945,13092,"2,479"
946,13424,"2,468"
947,12583,"2,465"
948,12921,"2,464"
949,11977,"2,455"
950,14516,"2,454"
951,14139,"2,438"
952,14782,"2,435"
953,13040,"2,434"
954,12106,"2,427"
955,13459,"2,405"
956,12466,"2,402"
957,14847,"2,395"
958,12149,"2,388"
959,13324,"2,382"
960,14012,"2,379"
961,10968,"2,363"
962,12958,"2,362"
963,14724,"2,361"
964,14627,"2,360"
965,14521,"2,357"
965,10976,"2,357"
966,13146,"2,354"
967,13416,"2,346"
968,13622,"2,344"
969,12920,"2,339"
970,14422,"2,333"
971,12835,"2,328"
