Rank,Zip_Code,Population,lat_long
409,14063,"14,676","42.408411, -79.331104"
410,11366,"14,650","40.727929, -73.793074"
411,14619,"14,602","43.136082, -77.648985"
412,11751,"14,559","40.733051, -73.212519"
413,12019,"14,429","42.945577, -73.834562"
414,12801,"14,381","43.312294, -73.645255"
415,14048,"14,177","42.479105, -79.312833"
416,14411,"14,176","43.235972, -78.216477"
417,14610,"14,050","43.143492, -77.545899"
418,14222,"14,037","42.919236, -78.877343"
419,12538,"13,996","41.792345, -73.893141"
420,14513,"13,970","43.063469, -77.100046"
421,10980,"13,943","41.258097, -74.030157"
422,11730,"13,860","40.720680, -73.172384"
423,11702,"13,788","40.618005, -73.407877"
424,13057,"13,772","43.087662, -76.035448"
425,11598,"13,715","40.631555, -73.711280"
426,14613,"13,578","43.182283, -77.639548"
427,11953,"13,401","40.893285, -72.951799"
428,10924,"13,389","41.381005, -74.352471"
429,11961,"13,330","40.893355, -72.877865"
430,13421,"13,291","43.061915, -75.660092"
431,12839,"13,265","43.354486, -73.553953"
432,11239,"13,244","40.644728, -73.879186"
433,10941,"13,176","41.491652, -74.344240"
434,10520,"13,152","41.217976, -73.874882"
435,13207,"13,135","43.012868, -76.163401"
436,10528,"13,128","40.974752, -73.725777"
437,13815,"12,985","42.547416, -75.533555"
438,14527,"12,951","42.666969, -77.068146"
439,13209,"12,940","43.087539, -76.255166"
440,11693,"12,919","40.611082, -73.822757"
441,14843,"12,911","42.320079, -77.646339"
442,10570,"12,893","41.127957, -73.790628"
443,12528,"12,871","41.713907, -73.995071"
444,11577,"12,808","40.784638, -73.640578"
445,10530,"12,791","41.023712, -73.812810"
446,11764,"12,723","40.934197, -72.975160"
447,11753,"12,596","40.788668, -73.541676"
448,14301,"12,594","43.097462, -79.031824"
449,11742,"12,566","40.809944, -73.040545"
450,13066,"12,550","43.032475, -76.000667"
451,10803,"12,544","40.899532, -73.805883"
452,11755,"12,510","40.858961, -73.120478"
453,14004,"12,496","42.898738, -78.517223"
454,14605,"12,470","43.168307, -77.601608"
455,11766,"12,414","40.935097, -73.015864"
456,11951,"12,391","40.767062, -72.838578"
