,objectid,shape_leng,shape_area,zone,locationid,borough,longitude,latitude
149,144,0.02762016685,4.747897e-05,Little Italy/NoLiTa,144,Manhattan,-73.99724364299989,40.7208317919999
150,145,0.11431384498,0.00034664173,Long Island City/Hunters Point,145,Queens,-73.94962883744297,40.7465819017009
151,146,0.04714052157,0.00010463892,Long Island City/Queens Plaza,146,Queens,-73.93410482599992,40.75439966049992
152,147,0.05876549493,0.00010641817,Longwood,147,Bronx,-73.89865102299996,40.8190645764999
153,148,0.03913050156,6.974899e-05,Lower East Side,148,Manhattan,-73.99066416299985,40.719101661499856
154,153,0.02473723902,3.24685e-05,Marble Hill,153,Manhattan,-73.91122570160039,40.875597697492566
155,154,0.22733157076,0.00178968692,Marine Park/Floyd Bennett Field,154,Brooklyn,-73.90822143191028,40.59313302587802
156,155,0.16980847303,0.00086826102,Marine Park/Mill Basin,155,Brooklyn,-73.91726201423214,40.61779794555026
157,156,0.14447689048,0.00105212174,Mariners Harbor,156,Staten Island,-74.16934388875629,40.62876220423896
158,159,0.06436323321,0.0001712491,Melrose South,159,Bronx,-73.91395997899984,40.8183345234999
159,157,0.13130021778,0.00035437013,Maspeth,157,Queens,-73.90559976837736,40.72402549949996
160,158,0.05480999055,0.00018556825,Meatpacking/West Village West,158,Manhattan,-74.00977439058099,40.73529527461579
161,160,0.14151914297,0.00057123498,Middle Village,160,Queens,-73.8822008279999,40.71856266999991
162,161,0.03580391006,7.191307e-05,Midtown Center,161,Manhattan,-73.97768016050001,40.75803031499993
163,162,0.03526981462,4.78937e-05,Midtown East,162,Manhattan,-73.97247058149988,40.75683997849992
164,163,0.03417686698,4.085678e-05,Midtown North,163,Manhattan,-73.97704129499989,40.76438657849988
165,164,0.03577161199,5.563182e-05,Midtown South,164,Manhattan,-73.98568407899992,40.749083385499915
166,165,0.08860803621,0.00035395932,Midwood,165,Brooklyn,-73.95794227799996,40.62007445249993
167,166,0.06882375429,0.00025527627,Morningside Heights,166,Manhattan,-73.96160445538064,40.80962137687038
168,167,0.09081597373,0.00016752939,Morrisania/Melrose,167,Bronx,-73.90139331649988,40.82798767699991
169,170,0.04576900911,7.431507e-05,Murray Hill,170,Manhattan,-73.97764804049993,40.74772537849988
