station	zipcode	lat	long	population	avg_household_income	jan_entry	jan_exit	feb_entry	feb_exit	mar_entry	mar_exit	 apr_entry	apr_exit	 may_entry	may_exit	jun_entry	jun_exit	jul_entry	jul_exit	aug_entry	aug_exit	sep_entry	sep_exit	oct_entry	oct_exit	 nov_entry	nov_exit	dec_entry	dec_exit
flushing av	11206	40.70026	-73.941126	88,349	18661	16239033	16198313	16294439	16239147	16370624	16294767	16419970	16370766	16476389	16422814	16544110	16482944	16593228	16555165	16664827	16610381	16724854	16686843	16815049	16752814	16880573	16815239	16932305	16880774
myrtle av	11206	40.697207	-73.935657	88,349	18661	13306559	21914618	13312626	21949398	13339793	22005306	13322197	22018257	13326582	22057504	13343808	22113087	13321758	22131421	13346114	22193792	13334535	22215845	13333036	22249971	13349427	22306401	13315142	22379014
kosciuszko st	11221	40.693342	-73.928814	83,835	22305	7093743	3687753	7108325	3687426	7137309	3690086	7137737	3686366	7149258	3685611	7172961	3687596	7174744	3698681	7201321	3738573	7210639	3788467	7225761	3830110	7251816	3871066	7250453	3919893
gates av	11221	40.68963	-73.92227	83,835	22305	3199349	3893238	3223290	3936895	3266359	3981543	3266400	4042176	3288159	4085770	3322634	4133743	3322814	4191640	3360978	4235683	3369802	4292309	3386912	4340713	5597559	5501179	5638131	5582886
chauncey st	11233	40.682893	-73.910456	76,819	22754	5551855	2117826	5551598	2117631	5553762	2119162	5534784	2113658	5530893	2112844	5530337	2114160	5512346	2109442	5512620	2111117	6003336	2265726	6026325	2269384	6039962	2260419	6039723	2243122
alabama av	11207	40.676992	-73.898654	91,972	24163	4961865	6010165	4977139	6032906	5000957	6065328	5013958	6083453	5030505	6105075	5052056	6137546	5064382	6158674	5087774	6187924	5105186	6207615	5124393	6230910	5151297	6266176	5162359	6284948
van siclen av	11207	40.678024	-73.891688	91,972	24163	6508416	8146226	6517428	8186807	6537470	8240182	6545020	8279562	6556085	8320208	6573694	8372430	6583560	8407630	6601871	8459720	6611664	8500224	6625175	8543176	6645515	8595140	6653506	8632265
cleveland st	11207	40.679947	-73.884639	91,972	24163	626662	289835	619911	311332	622035	348253	601776	361054	593593	380060	593809	412118	577721	425908	577309	453286	568504	468756	565363	490636	569645	526987	548538	537864
norwood av	11208	40.68141	-73.880039	98,660	27078	4513155	6833910	4516146	6847648	4527876	6874570	4522052	6881321	4521714	6906938	4529837	6941827	4526667	6963715	4535258	6994950	4533458	7017199	4537345	7043552	4547370	7081636	4539132	7101647
crescent st	11208	40.683194	-73.873785	98,660	27078	10788417	7235124	10819327	7237487	10862475	7235745	10882859	7212452	10906548	7200787	10943149	7200273	10962879	7179908	10997921	7177370	11019826	7162445	11048104	7155257	11091522	7157468	11104192	7136951
cypress hills	11421	40.689941	-73.87255	41,002	69053	4190504	2287474	4192709	2284740	4201541	2284621	4202608	2279218	4207776	2275780	4216462	2274587	4219339	2269774	4227295	2268032	4232490	2263056	4239534	2259475	4249941	2257436	4250589	2249465
75 st	11421	40.691324	-73.867139	41,002	69053	5764345	4256122	5758057	4254233	5760927	4259414	5749200	4256546	5743307	4258713	5742151	4255103	5729938	4234490	5726826	4224923	5717206	4217647	5712178	4215030	5712479	4216454	5697533	4208200
woodhaven blvd	11421	40.693879	-73.851576	41,002	69053	33554682	11439821	33554682	11467721	33554682	11506461	33554682	11536081	33554683	11566950	33554683	11600649	33554686	11629641	33554689	11664142	33554699	11693654	33554703	11731146	33554682	11771524	33526100	11804919
104 st	11418	40.695178	-73.84433	38,517	67003	2025790617	1907436714	2025768260	1907421348	2025743306	1907404147	2025709837	1907382074	2025683231	1907365290	2025657577	1907347981	2025626734	1907328274	2025604646	1907314213	2025575901	1907295258	2025849343	1907468409	1681105769	978340971	1681084635	978333473
111 st	11418	40.697418	-73.836345	38,517	67003	50331788	16776866	50331789	50331438	50331793	50331438	50331797	50331439	50331797	50331442	50331799	50331442	50331802	16776861	50331804	16776861	50331827	16776861	50331849	16776861	50331857	16776942	50331858	16776932
121 st	11418	40.700492	-73.828294	38,517	67003	1945403799	519864387	1945396276	519861074	1945732721	520146746	1945735501	520155440	1945729862	520159192	1945724627	520165787	1945716756	520169827	1945711921	520176305	1945704461	520178308	1945699377	520182175	1945695325	520187929	1945686554	520187483
central av	11221	40.697857	-73.927397	83,835	22305	1878055	3092826	1882390	3104648	1894247	3126665	1892718	3128064	1900559	3143174	1910498	3161954	1910319	3168467	1915341	3188944	1913313	3202453	1919230	3217554	1928725	3236733	1928780	3246018
fresh pond rd	11385	40.706186	-73.895877	106,717	64481	14166054	5643454	14176699	5662557	14192709	5689494	14193090	5700681	14203809	5721796	14220680	5749477	14220893	5762689	14238467	5790781	14244850	5808561	14255132	5828845	14269377	5856823	14267804	5870842
metropolitan av	11211	40.712792	-73.951418	102,624	23567	150994990	16225269	150994994	16213840	150995047	16200191	150994999	16181170	150995003	16166798	150995009	16150553	150995016	16133635	17178513	16121754	17254164	16106170	150995027	16092785	150995027	16079290	150995027	16063326
dyckman st	10034	40.865491	-73.927271	42,910	29479	12682795	10765811	12724746	10829282	12781231	10894098	12827327	10981115	12876909	11053017	12940373	11129959	12986327	11225128	13043229	11295740	13093030	11384052	13140703	11460083	13197561	11533292	13241204	11621776
190 st	10040	40.859022	-73.93418	44,571	27905	1438502968	1844243477	1438430190	1844218477	1438353808	1844192204	1438252874	1844157616	1438170542	1844128740	1438081689	1844098197	1437975260	1844061183	1437895473	1844033879	1437789346	1843989584	1437696147	1843948887	1437607578	1843909456	1437499312	1843862599
181 st	10033	40.851695	-73.937969	59,607	31348	15065036	18906336	15078247	18912616	15105715	18938846	15099674	18916427	15107962	18917495	15122504	18926107	15121919	18912379	15965696	20396841	15963950	20448027	15952641	20495549	15948989	20571768	15911714	20608504
175 st	10033	40.847391	-73.939704	59,607	31348	218302158	285485170	218307791	285492154	218315120	285500965	218321110	285508346	218327243	285516238	218335224	285525677	218341175	285533200	218350624	285542813	218357050	285550489	218363436	285558339	218371260	285567749	218377300	285574889
168 st	10032	40.840719	-73.939561	64,264	26237	52911869	22272553	52958515	22277136	53018636	22282883	53065191	22287081	53106420	22290871	53159951	22295345	53199920	22298164	53249239	22298164	53293197	5241437	53337783	5287110	53392650	5341011	53429206	22304788
155 st	10039	40.830518	-73.941514	27,726	17370	7466041	6419237	7482091	6435169	7503511	6457563	7518008	6472042	7536581	6487915	7560965	6510395	7574028	6524680	7597812	6547832	7615539	6564156	7635987	6581414	7661599	6602675	7676797	6617455
145 st	10031	40.824783	-73.944216	60,254	24285	655179029	1444643135	655181371	1444678966	655186765	1444726794	655183337	1444762630	655182833	1444797182	655184180	1444841681	655185001	1444873709	655190770	1444911449	655191936	1444943749	655192777	1444980352	655196796	1445029730	655193529	1445064089
135 st	10030	40.817894	-73.947649	29,882	17970	117440772	117440779	117440774	117440779	117440777	117440781	117440780	117440784	117440781	117440787	117440783	117440788	117440784	16826137	117440787	117440791	117440793	117440794	117440798	117440800	117440806	117440805	117440806	117440813
125 st	10027	40.811109	-73.952343	64,548	23150	1691570613	789329720	1691524664	789344858	1691473488	789364955	1691404271	822117363	1691345922	822144263	1691287822	822178878	1862363970	1409370435	1862417617	1409419547	1862464358	1409468759	1862510768	1409514518	1862568867	1409567023	1862613176	1409607577
116 st	10026	40.805085	-73.954882	39,363	22491	1276366709	1625694106	1159662285	235390481	1159719885	235403267	1159729475	235414209	1159811787	587259061	1159853465	235433263	1159885914	235441322	1159921368	235447183	1159926059	235407519	1160024315	235472734	1160086505	235486084	1160111328	235484810
cathedral pkwy	10025	40.803967	-73.966847	92,805	49733	67341442	134357960	67414130	134407486	67447073	134425045	67436430	134434454	67420334	134442503	67455471	134453547	67595262	134489995	67633508	134505900	67605700	134516425	67579491	134524921	67565076	134536194	67582184	134541988
103 st	10025	40.796092	-73.961454	92,805	49733	36156859	505279229	36190389	505314349	2096605665	1710821631	2096542313	1710776864	36310787	505435107	36362121	505484970	36992382	505935662	25570961	43967771	25531218	43961503	25482202	43969679	25453037	43990875	25793808	44262797
96 st	10025	40.791642	-73.964696	92,805	49733	644368054	18789122	644476886	18946444	644618307	19150475	644730653	19314224	644843079	19479380	644980048	19716890	645037938	19893564	645164107	20090752	645275745	20246393	645392963	20403297	645536423	20611737	645642387	20770865
